Id,SalePrice
2658,133601.0632725081
2718,165448.2690843035
2414,216080.1490761551
1989,110304.53209480397
625,177300.18232843658
333,86285.07175328238
1327,104724.31230633605
858,155859.32446073444
95,178936.99131183603
1568,171415.78012081713
2482,151732.24470002297
1364,123527.66876847747
2584,142939.6023585367
818,259488.11759235017
2673,166567.20357296514
2089,115777.63430738452
1297,135997.94743045067
790,118068.53834896613
2616,184717.70998891265
720,183363.53310954018
222,165289.57429339207
557,123659.76532253504
1148,199298.2323195596
2766,164949.21421830304
534,190042.754527047
1452,123414.47611782969
630,111005.77843337912
2648,125061.0766317138
125,155205.49619023546
1904,53752.3834416638
1670,99681.04305993149
756,97762.82775821445
717,220636.1717405084
1032,160965.4321069001
852,211302.5821990316
1731,187144.12604641347
2639,130087.51031796465
2071,87246.34167943029
1267,110627.07003338901
1851,198631.93208074386
567,179089.57818408436
2439,204999.4814963128
1898,148354.8384092083
647,172946.35786146877
2256,213019.5705756913
979,101166.95819171649
1444,213035.8277268992
2485,122905.70412178015
157,134718.4310315817
88,125618.62115620903
2003,113453.79862038436
186,200113.18566614506
1425,232403.77895027696
2695,133082.741066385
738,109720.28331348996
395,166482.65678168891
1353,176668.10981717744
1878,146715.43003137014
390,153295.09807892403
1456,228950.1086867014
1103,327395.9574662942
1387,133352.8580313576
2070,154029.50461743804
1199,166052.19266473508
2479,183117.6188453813
501,342887.6110892192
2362,90339.74521277181
1718,239577.24032012757
2188,83614.99357360265
1483,146807.62305427474
2557,86853.98460131868
437,360471.3488011545
2224,216082.82899923023
1628,159205.69895751507
397,130941.18221703565
587,198214.65623720392
2182,576826.374257352
971,140958.05509508873
2611,143085.62707173228
1887,109332.53745851171
2399,359263.1978013457
2148,192030.0026734231
304,142654.70149574731
1997,141073.95628423433
2817,104551.34943915957
1431,202215.8614394047
427,340042.6919896774
263,123745.79113112694
598,178500.71307824762
2895,236469.901145139
687,135642.79898082337
1822,140997.81916856897
2191,99644.54619374583
179,118953.8268569601
1009,253507.73244150582
2010,133580.6425726278
1991,144523.47433461863
1411,211377.18361343935
1721,237243.9483651107
1144,196140.8674269047
593,220540.15042193606
575,296772.07592990564
1249,167218.8912648941
1604,120610.70846476615
1064,478456.6791192938
1923,151590.37066738473
1988,121167.62160212766
2325,167031.25257177275
114,201254.56372899865
2700,166929.49720737815
217,141063.73444061162
343,181606.53725606448
386,223719.16078053758
2005,124786.57039137077
2908,137885.87990210133
1814,237171.96552194105
2446,456114.25343270856
208,124215.48837438013
1679,99413.18260739547
822,299951.55766197457
6,190169.10869514992
1781,385675.59138351545
2397,329538.7450861796
2340,325889.8811732483
1618,164962.3965146941
2843,157464.14051465277
1061,367424.1351020401
2786,125665.60418184925
1935,136605.30451163978
1341,123067.1903400294
521,250695.82392396335
2136,127657.83305907212
996,201253.1813037244
227,140869.68788986912
135,173165.3801249819
1167,165079.77092571993
294,230522.9325689341
1776,210197.41990946088
540,167628.81999564057
1717,252774.9725306509
2303,125280.94158294918
116,195028.53828282843
127,155507.77953600747
1371,128720.23630214474
1014,136543.78046161734
1507,120572.25745990255
702,127558.1911520307
750,147490.45007223522
261,146651.2310640273
1559,59320.67560210767
577,210726.71713259595
2812,194454.8686730228
2080,163097.82387196136
1368,108265.54802065734
2376,122554.83329037842
659,119206.44256306994
1235,134172.84901974333
332,75014.0873677696
1917,147702.14266860214
2094,240083.21564737053
1460,269216.5965007099
1471,216816.64235030118
1509,118604.65072586054
1922,135860.05955971614
433,511107.33169383946
460,259692.85974476297
1116,235518.7045680483
1137,163578.76899469696
53,156207.87963644625
2354,280645.1497161472
1475,193401.84442770266
1761,474900.621241348
842,134241.27756114557
2739,201498.9632235467
2509,160771.99738762266
1007,201351.99233164755
2610,186165.55561126684
1952,94556.97380091161
2719,164334.72181341378
2921,82428.79665936696
1966,147036.68309231038
292,123489.48101135562
1204,183044.05355049565
1829,258814.9945986322
2419,200055.72895421373
391,142630.15693295642
798,114289.82097451742
481,201985.30340953346
193,204575.60057393878
555,132339.57338415817
899,64284.88383246043
2357,183805.05372911744
328,138480.32021111774
1356,122192.47841108896
1154,101473.2865571077
1730,188782.4184650628
2249,162917.80808597466
1119,297139.08162570326
2856,154316.18494492467
1394,130506.53892856263
2587,99559.62518474802
61,313801.25916663115
2661,172854.91994976107
2711,132307.81604863278
1147,175073.14133664878
757,114970.19624136675
2623,105331.54284343994
2378,129722.77445097844
1413,150498.436760516
1722,220738.54444539314
1112,234591.28558122704
1623,194637.95064380855
1201,197462.03437258964
1513,124782.91774062213
957,365900.64430183277
1171,246108.17452489928
1145,200586.5859887903
2726,234035.10685881996
703,160179.7510003181
760,125850.16352949635
1964,145804.58629085228
2512,180515.27162694331
159,143980.648999594
1281,166572.11058662538
468,194098.6491667435
290,126099.57287105266
665,109157.35246876277
1463,241460.6872531068
1792,221662.1605594607
923,176375.97438571232
500,279287.71237034246
1408,188460.94752067496
331,86819.87909955566
170,129798.67825620745
2192,93340.8883187492
2571,273726.39854338975
2314,167630.30540512307
2647,98744.02075709966
422,427434.4598387807
2457,353601.43130919384
1838,191590.2736356286
2805,249350.92373723764
1645,148517.93212568935
1711,311410.1265544505
2825,243564.35540487606
322,314066.03589948954
2103,256535.75859236412
342,120438.6061810847
600,124227.12188613872
488,164088.63226561778
1725,300810.0945878983
2246,318297.30510650366
2847,145332.51460438903
806,233969.39252721515
530,243215.2708809174
963,184794.82592147822
2678,109413.0059801232
171,83704.0520106004
2401,419005.7135821169
805,218376.11978966836
2259,239879.59890832464
1748,189358.06706191055
1361,146991.51136900164
1677,114261.62014694621
1406,165003.42498526353
2322,259265.1199324642
688,144031.61843351694
143,149330.96200123747
804,197362.9740018409
1214,229746.30730927998
2828,138355.30049878257
1999,192316.79404059818
2467,207741.811614768
2665,163642.95972949202
1538,313748.92619189096
398,113801.84874681472
2822,159089.61014063927
2157,143260.9565994056
1856,196321.03751695945
1269,95531.29856944473
2570,114405.86542140816
2320,245289.55871485083
1517,128953.79373189958
2304,120340.85980362498
1312,88419.54136538946
2012,132464.78139727417
506,263877.69544842455
2865,212508.15999308784
2367,107823.82473130514
554,87800.13697966986
238,137430.06907672778
1954,97236.88786350709
2488,126315.27723780516
2291,73946.5178685291
1969,110120.50317778389
2725,174878.89275164268
1482,143775.24373279812
2763,200345.66722557304
503,269071.1150431937
1584,241933.53214831377
1531,150993.8479675411
2210,183740.21261932908
459,325293.39335210324
556,127478.70096253479
1347,134457.0769675177
1290,72023.60886665629
1388,100523.22056845357
1571,316768.8904252744
2754,207608.04839109574
765,139512.24917874733
2494,134247.90154193022
2870,235158.01781022848
7,251008.22323910435
1114,223861.4023012914
2418,276254.80244928756
291,149451.45112590207
18,374801.89921495796
39,386011.4682295911
1001,288630.4180763706
2442,232967.32061698343
616,120474.8708834035
2680,98974.40851468946
1414,126306.18265916605
289,150205.46744855604
40,273521.487225719
860,140250.07010442542
409,122558.67953259673
673,158858.18633042127
2427,174138.2082636012
2036,230931.46255859808
2564,133686.08491756525
642,164875.183813088
